frame,label,id,transform,bbox,image_path,detection_score,raw_pose_score,render_score
1,-1,-1,0.998621 -0.017313 0.049565 -0.045769 -0.048266 -0.674237 0.736937 0.191211 0.020660 -0.738312 -0.674142 1.372394 0.000000 0.000000 0.000000 1.000000,,images/rgb_000001.png,,,
1,0,0,0.998883 -0.046481 -0.008654 -0.071268 -0.037724 -0.673200 -0.738499 -0.042618 0.028500 0.738000 -0.674200 0.994199 0.000000 0.000000 0.000000 1.000000,,,1,1,1
1,6,6,-0.678800744942 -0.73279220707 -0.0473828019828 -0.151385540784 -0.46321932993 0.477371137163 -0.74668912526 0.100821650943 0.569787154159 -0.484904504682 -0.663483398658 0.806395185747 0.0 0.0 0.0 1.0,194 263 59 61,,0.999954,0.14019702,0.285328686237
1,9,9,-0.9999377029 -0.00234027965234 0.0109139090635 -0.185197537623 -0.00881390916571 0.765487407532 -0.643390506548 0.0369915784007 -0.00684874624405 -0.643446619388 -0.765460346898 0.838340148895 0.0 0.0 0.0 1.0,170 219 68 65,,0.9995962,0.17320806,0.64925712347
1,9,9,-0.812316716912 0.581029211685 0.0504639137892 -0.233929438468 0.358827282331 0.566119563233 -0.742126418867 -0.130899049121 -0.459765736958 -0.584733867067 -0.668357517969 0.928208958293 0.0 0.0 0.0 1.0,159 120 60 74,,0.9989297,0.18807742,0.646241724491
1,6,6,-0.600851782051 -0.702081696263 0.382175912086 0.0401504574793 -0.665595102158 0.704185874632 0.247195092895 0.0129917055629 -0.442674029043 -0.105846803167 -0.890413476016 0.860380301553 0.0 0.0 0.0 1.0,321 208 45 45,,0.9980197,0.09809362,0.00578462332487
1,2,2,0.105536175094 0.424289817821 0.89935547268 -0.186626390567 0.863816885882 -0.487153619056 0.128459095065 -0.0480133459439 0.492628159377 0.763321362162 -0.41792103878 0.956034963318 0.0 0.0 0.0 1.0,141 156 160 103,,0.989253,0.0577828,0.202410638332
1,8,8,-0.946546569068 -0.314874906526 -0.0700241802942 -0.147957720223 -0.161481109003 0.650476329893 -0.742161974022 -0.0550348875277 0.279237253999 -0.691183287912 -0.666552487423 0.892996631153 0.0 0.0 0.0 1.0,208 166 60 44,,0.9829585,0.15320511,0.735763967037
1,3,3,-0.7369232096 -0.674753206729 -0.0406484090974 -0.00779975374642 -0.400254477272 0.484010600097 -0.778158141009 -0.255375244297 0.544738961868 -0.557173087113 -0.62675163695 0.994640081062 0.0 0.0 0.0 1.0,287 29 58 126,,0.98085254,0.24596429,0.427658170462
1,4,4,0.998005970188 0.0528507779689 -0.0345091109247 -0.0309372312761 -0.00715963800713 0.637983875291 0.77001643778 0.018905110241 0.0627122241061 -0.768233929306 0.637090108863 0.859978597408 0.0 0.0 0.0 1.0,284 197 43 76,,0.97756517,0.07729322,0.734276354313
1,3,3,-0.686069491435 -0.178858194397 0.705208053853 0.0108037370317 -0.661647098326 0.556471792265 -0.502555729936 -0.132868657758 -0.302542179207 -0.811387016602 -0.500119324851 1.0952678658 0.0 0.0 0.0 1.0,310 118 70 57,,0.94447833,0.13956738,0.231288477778
1,8,8,0.91729036844 -0.223984896064 0.329255442329 0.128016796336 -0.0484425692802 -0.883443186528 -0.466027309993 -0.0463825529177 0.395261555745 0.41153238331 -0.821224329911 0.933239215749 0.0 0.0 0.0 1.0,372 176 57 60,,0.94263047,0.13992777,0.518503248692
1,5,5,-0.94908203085 0.298294745045 -0.101309149615 -0.0635432002359 0.311162698387 0.837408952627 -0.449359567822 -0.121750863299 -0.0492044088467 -0.458002719575 -0.887587987194 0.951166574958 0.0 0.0 0.0 1.0,258 113 59 81,,0.9037528,0.09710116,0.415951788425
